,BATSMEN,RUN SOCRED,TIME SPEND ON PITCH,BALLS FACED,FOURS,SIXES,STRIKE RATE,TEAM,OPPOSITION,VENUE,MATCH DATE,SCORECARD
59,GM Turner,171*,190,201,16,2,85.07,New Zealand,v East Africa,Birmingham,07 Jun 1975,ODI # 20
60,RG Sharma,171*,205,163,13,7,104.90,India,v Australia,Perth,12 Jan 2016,ODI # 3723
61,AD Hales,171,166,122,22,4,140.16,England,v Pakistan,Nottingham,30 Aug 2016,ODI # 3773
62,L Ronchi,170*,122,99,14,9,171.71,New Zealand,v Sri Lanka,Dunedin,23 Jan 2015,ODI # 3588
63,SD Hope,170,-,152,22,2,111.84,West Indies,v Ireland,Dublin,05 May 2019,ODI # 4128
64,DJ Callaghan,169*,204,143,19,4,118.18,South Africa,v New Zealand,Centurion,11 Dec 1994,ODI # 960
65,BC Lara,169,-,129,15,4,131.00,West Indies,v Sri Lanka,Sharjah,16 Oct 1995,ODI # 1010
66,KC Sangakkara,169,200,137,18,6,123.35,Sri Lanka,v South Africa,Colombo (RPS),20 Jul 2013,ODI # 3392
67,D Ramdin,169,187,121,8,11,139.66,West Indies,v Bangladesh,Basseterre,25 Aug 2014,ODI # 3514
68,Soumya Sarkar,169,218,151,22,2,111.92,Bangladesh,v New Zealand,Nelson,20 Dec 2023,ODI # 4715
69,Q de Kock,168*,188,145,21,2,115.86,South Africa,v Bangladesh,Kimberley,15 Oct 2017,ODI # 3923
70,RA Smith,167*,208,163,17,3,102.45,England,v Australia,Birmingham,21 May 1993,ODI # 831
71,V Kohli,166*,173,110,13,8,150.90,India,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,ODI # 4505
72,BB McCullum,166,-,135,12,10,122.96,New Zealand,v Ireland,Aberdeen,01 Jul 2008,ODI # 2727
73,DA Warner,166,184,147,14,5,112.92,Australia,v Bangladesh,Nottingham,20 Jun 2019,ODI # 4166
74,RT Ponting,164,154,105,13,9,156.19,Australia,v South Africa,Johannesburg,12 Mar 2006,ODI # 2349
75,SPD Smith,164,206,157,14,4,104.45,Australia,v New Zealand,Sydney,04 Dec 2016,ODI # 3811
76,SR Tendulkar,163*,206,133,16,5,122.55,India,v New Zealand,Christchurch,08 Mar 2009,ODI # 2823
77,DA Warner,163,219,157,13,2,103.82,Australia,v Sri Lanka,Brisbane,04 Mar 2012,ODI # 3255
78,DA Warner,163,180,124,14,9,131.45,Australia,v Pakistan,Bengaluru,20 Oct 2023,ODI # 4675
79,AB de Villiers,162*,103,66,17,8,245.45,South Africa,v West Indies,Sydney,27 Feb 2015,ODI # 3616
80,JC Buttler,162*,107,70,7,14,231.42,England,v Netherlands,Amstelveen,17 Jun 2022,ODI # 4413
81,JJ Roy,162,172,118,13,3,137.28,England,v Sri Lanka,The Oval,29 Jun 2016,ODI # 3757
82,RG Sharma,162,-,137,20,4,118.24,India,v West Indies,Brabourne,29 Oct 2018,ODI # 4063
83,CH Gayle,162,-,97,11,14,167.01,West Indies,v England,St George's,27 Feb 2019,ODI # 4099
84,Ibrahim Zadran,162,226,138,15,4,117.39,Afghanistan,v Sri Lanka,Pallekele,30 Nov 2022,ODI # 4490
85,PR Stirling,162,198,134,15,8,120.89,Ireland,v U.A.E.,Bulawayo,27 Jun 2023,ODI # 4604
86,SR Watson,161*,215,150,12,4,107.33,Australia,v England,Melbourne,16 Jan 2011,ODI # 3081
87,TM Dilshan,161*,221,146,22,-,110.27,Sri Lanka,v Bangladesh,Melbourne,26 Feb 2015,ODI # 3615
88,AC Hudson,161,153,132,13,4,121.96,South Africa,v Netherlands,Rawalpindi,05 Mar 1996,ODI # 1073
89,JAH Marshall,161,-,141,11,4,114.18,New Zealand,v Ireland,Aberdeen,01 Jul 2008,ODI # 2727
90,TM Dilshan,160*,202,165,11,3,96.96,Sri Lanka,v India,Hobart,28 Feb 2012,ODI # 3251
91,EC Joyce,160*,-,148,19,3,108.10,Ireland,v Afghanistan,Belfast,19 Jul 2016,ODI # 3764
92,V Kohli,160*,220,159,12,2,100.62,India,v South Africa,Cape Town,07 Feb 2018,ODI # 3971
93,Imran Nazir,160,201,121,14,8,132.23,Pakistan,v Zimbabwe,Kingston,21 Mar 2007,ODI # 2547
94,TM Dilshan,160,186,124,20,3,129.03,Sri Lanka,v India,Rajkot,15 Dec 2009,ODI # 2932
95,D Mongia,159*,233,147,17,1,108.16,India,v Zimbabwe,Guwahati,19 Mar 2002,ODI # 1818
96,HM Amla,159,168,128,16,4,124.21,South Africa,v Ireland,Canberra,03 Mar 2015,ODI # 3621
97,RG Sharma,159,-,138,17,5,115.21,India,v West Indies,Visakhapatnam,18 Dec 2019,ODI # 4222
98,DI Gower,158,177,118,18,4,133.89,England,v New Zealand,Brisbane,15 Jan 1983,ODI # 168
99,ML Hayden,158,216,143,14,4,110.48,Australia,v West Indies,North Sound,27 Mar 2007,ODI # 2555
